Date,Open,High,Low,Close,Volume,Adj Close
2014-03-07,3132.45,3137.79,3125.93,3136.26,310186400,3136.26
2014-03-06,3115.30,3136.58,3115.18,3129.17,268596000,3129.17
2014-03-05,3113.15,3116.64,3107.04,3116.64,334640400,3116.64
2014-03-04,3088.35,3114.24,3087.67,3104.71,331264600,3104.71
2014-03-03,3078.29,3088.24,3067.24,3087.47,387808900,3087.47
2014-02-28,3093.31,3110.78,3087.82,3110.78,302515500,3110.78
2014-02-27,3085.54,3101.36,3082.86,3096.74,231943400,3096.74
2014-02-26,3101.03,3101.03,3080.97,3088.25,188570200,3088.25
2014-02-25,3116.30,3121.29,3101.51,3103.62,214480700,3103.62
2014-02-24,3112.43,3113.57,3097.04,3105.84,156797700,3105.84
2014-02-21,3103.30,3109.80,3096.54,3099.93,268789400,3099.93
2014-02-20,3093.39,3101.58,3084.10,3086.64,200865200,3086.64
2014-02-19,3087.31,3095.58,3083.31,3088.79,257561400,3088.79
2014-02-18,3075.47,3075.69,3064.21,3070.78,127989800,3070.78
2014-02-17,3048.70,3071.79,3044.50,3069.28,199644600,3069.28
2014-02-14,3046.12,3051.48,3029.90,3038.71,183823000,3038.71
2014-02-13,3029.53,3050.23,3027.85,3039.90,209310200,3039.90
2014-02-12,3039.46,3044.96,3033.73,3035.45,170223900,3035.45
2014-02-11,3018.26,3042.95,3013.63,3029.10,126246100,3029.10
2014-02-10,3021.89,3021.89,3003.48,3017.20,198728300,3017.20
2014-02-07,3003.53,3019.12,3000.17,3013.14,245264200,3013.14
2014-02-06,2972.98,2994.48,2972.40,2988.27,222123400,2988.27
2014-02-05,2974.80,2984.65,2960.09,2960.09,240463400,2960.09
2014-02-04,2954.88,2973.72,2953.01,2965.80,251984700,2965.80
2014-02-03,3011.41,3015.16,2989.00,2990.95,203798000,2990.95
2014-01-30,3019.08,3027.22,3012.26,3027.22,223179400,3027.22
2014-01-29,3064.05,3068.05,3036.30,3047.93,177521800,3047.93
2014-01-28,3035.56,3065.72,3031.41,3062.41,223178600,3062.41
2014-01-27,3038.99,3043.33,3025.15,3042.43,288339800,3042.43
2014-01-24,3087.09,3091.09,3071.23,3075.99,236024500,3075.99
2014-01-23,3129.24,3132.77,3098.95,3100.24,234692700,3100.24
2014-01-22,3129.46,3136.88,3126.44,3133.74,156776300,3133.74
2014-01-21,3130.39,3142.05,3128.61,3133.76,150743300,3133.76
2014-01-20,3137.26,3140.09,3126.79,3128.79,109883200,3128.79
2014-01-17,3129.58,3147.33,3116.67,3147.33,204128200,3147.33
2014-01-16,3150.00,3155.89,3135.47,3140.44,162248400,3140.44
2014-01-15,3131.33,3146.77,3131.33,3143.25,176631900,3143.25
2014-01-14,3117.88,3125.40,3115.80,3123.75,209054700,3123.75
2014-01-13,3150.74,3153.50,3131.19,3135.49,144893400,3135.49
2014-01-10,3148.72,3153.69,3139.20,3143.87,185160800,3143.87
2014-01-09,3143.12,3154.36,3138.96,3145.41,190006000,3145.41
2014-01-08,3129.93,3150.65,3126.61,3150.65,158504200,3150.65
2014-01-07,3123.85,3133.40,3120.88,3120.88,169757700,3120.88
2014-01-06,3142.61,3143.61,3119.70,3123.82,131857500,3123.82
2014-01-03,3164.33,3170.10,3127.91,3131.47,133084900,3131.47
2014-01-02,3179.67,3187.80,3170.20,3174.65,105365400,3174.65
2013-12-31,3166.26,3169.20,3158.15,3167.43,245359800,3167.43
2013-12-30,3159.68,3164.86,3150.26,3153.29,107880500,3153.29
2013-12-27,3144.87,3154.82,3142.37,3149.76,174566000,3149.76
2013-12-26,3131.94,3138.15,3130.23,3134.36,61807500,3134.36
2013-12-24,3124.47,3131.80,3115.41,3127.29,78827000,3127.29
2013-12-23,3101.92,3116.22,3096.92,3116.22,122500700,3116.22
2013-12-20,3072.41,3094.48,3070.42,3094.48,205590900,3094.48
2013-12-19,3083.44,3084.19,3056.45,3070.23,217061800,3070.23
2013-12-18,3058.82,3070.10,3056.91,3061.78,167996300,3061.78
2013-12-17,3073.07,3077.71,3063.38,3067.57,154936200,3067.57
2013-12-16,3053.69,3062.88,3049.20,3053.77,134780500,3053.77
2013-12-13,3044.28,3070.35,3038.67,3066.02,274630600,3066.02
2013-12-12,3034.00,3063.03,3025.41,3059.04,282117300,3059.04
2013-12-11,3077.16,3082.43,3056.44,3060.74,261782600,3060.74
2013-12-10,3115.46,3116.86,3081.60,3081.72,230807800,3081.72
2013-12-09,3122.14,3126.01,3108.18,3113.64,191952600,3113.64
2013-12-06,3113.61,3119.74,3098.80,3114.17,198084400,3114.17
2013-12-05,3143.39,3152.05,3120.84,3124.38,294429300,3124.38
2013-12-04,3176.23,3187.53,3151.75,3160.70,193234700,3160.70
2013-12-03,3181.90,3197.09,3181.11,3187.67,183443000,3187.67
2013-12-02,3177.87,3188.93,3174.81,3188.76,162639300,3188.76
2013-11-29,3178.27,3181.07,3169.73,3176.35,224993100,3176.35
2013-11-28,3178.73,3199.89,3174.57,3186.37,139233600,3186.37
2013-11-27,3175.12,3177.91,3163.12,3172.06,192118400,3172.06
2013-11-26,3178.13,3182.24,3168.60,3173.51,299990500,3173.51
2013-11-25,3185.62,3185.62,3174.45,3180.65,179843100,3180.65
2013-11-22,3175.98,3177.75,3162.47,3172.85,169080600,3172.85
2013-11-21,3175.70,3176.76,3158.40,3172.38,275688100,3172.38
2013-11-20,3197.39,3202.18,3182.25,3184.23,184427500,3184.23
2013-11-19,3204.20,3206.92,3188.58,3192.08,171544800,3192.08
2013-11-18,3215.38,3218.55,3202.33,3203.03,238039100,3203.03
2013-11-15,3192.47,3202.79,3189.35,3201.27,346700800,3201.27
2013-11-14,3180.37,3196.59,3180.00,3191.08,254333000,3191.08
2013-11-13,3185.36,3185.38,3163.01,3166.74,261981100,3166.74
2013-11-12,3186.13,3189.04,3180.25,3180.25,190563800,3180.25
2013-11-11,3184.09,3190.83,3175.72,3186.72,160023100,3186.72
2013-11-08,3190.95,3193.79,3173.49,3177.25,217921000,3177.25
2013-11-07,3215.35,3217.36,3198.63,3202.10,179443800,3202.10
2013-11-06,3206.35,3212.07,3199.79,3205.29,214266300,3205.29
2013-11-05,3213.86,3217.00,3200.56,3205.54,215180600,3205.54
2013-11-04,3207.22,3212.40,3200.34,3203.94,135785900,3203.94
2013-11-01,3212.13,3213.94,3194.96,3201.20,221917100,3201.20
2013-10-31,3218.48,3227.53,3210.67,3210.67,385770200,3210.67
2013-10-30,3215.29,3230.44,3204.48,3230.44,253572700,3230.44
2013-10-29,3205.37,3213.71,3198.42,3208.82,151009500,3208.82
2013-10-28,3216.75,3218.40,3204.75,3207.85,187856000,3207.85
2013-10-25,3220.53,3221.94,3202.36,3205.24,218928500,3205.24
2013-10-24,3201.97,3221.89,3199.38,3217.95,167528000,3217.95
2013-10-23,3220.95,3235.25,3198.96,3204.80,304245900,3204.80
2013-10-22,3202.87,3214.24,3199.40,3210.21,282212600,3210.21
2013-10-21,3206.01,3208.87,3193.29,3195.76,274733300,3195.76
2013-10-18,3201.47,3203.09,3188.59,3192.90,205491000,3192.90
2013-10-17,3195.90,3203.91,3184.57,3186.62,187364600,3186.62
2013-10-16,3179.57,3185.64,3164.93,3174.03,201059100,3174.03
2013-10-14,3180.69,3183.38,3155.31,3165.25,83317900,3165.25
2013-10-11,3193.13,3197.17,3179.71,3179.71,176447400,3179.71
